
P;¿Qué especie es más pequeña entre los cérvidos?;CIE;2
R;Los pudúes;1
R;La Corzuela Temama;0
R;El Corzo Siberiano;0

P;¿Qué animal tiene capacidad de cambiar de género varias veces durante su vida?;CIE;2
R;Las babosas;0
R;Las ostras;1
R;Los Caballitos de Mar;0

P;¿Cual de estas afirmaciones sobre los pulpos no es cierta?;CIE;2
R;Tienen tres corazones;0
R;Pueden escuchar sonidos de muy baja frecuencia;1
R;Tienen pico;0
R;Huelen a través de sus brazos;0;

P;¿Cual es el pez más veloz de todos?;CIE;2
R;El pez vela del pacífico;0
R;El guaju;1
R;El atún rojo gigante;0




